frame,time_s,x,y,w,h,cx,cy
0,0.0000,25.0,382.0,149.0,105.0,99.5,434.5
1,0.0333,25.0,382.4,149.0,105.0,99.5,434.9
2,0.0667,23.1,381.6,152.0,107.0,99.1,435.1
3,0.1000,22.8,381.4,152.0,107.0,98.8,434.9
4,0.1334,22.7,381.4,152.0,107.0,98.7,434.9
5,0.1667,20.9,380.5,155.0,109.0,98.4,435.0
6,0.2001,20.8,380.4,155.0,109.0,98.3,434.9
7,0.2334,20.5,380.5,155.0,109.0,98.0,435.0
8,0.2668,18.7,379.4,158.0,111.0,97.7,434.9
9,0.3001,18.5,379.4,158.0,111.0,97.5,434.9
10,0.3334,16.9,377.9,161.0,114.0,97.4,434.9
11,0.3668,18.1,379.2,158.0,111.0,97.1,434.7
12,0.4001,17.9,378.9,158.0,111.0,96.9,434.4
13,0.4335,17.7,378.6,158.0,111.0,96.7,434.1
14,0.4668,16.1,376.9,161.0,114.0,96.6,433.9
15,0.5002,15.7,376.7,161.0,114.0,96.2,433.7
16,0.5335,15.4,376.4,161.0,114.0,95.9,433.4
17,0.5669,15.1,376.2,161.0,114.0,95.6,433.2
18,0.6002,12.8,374.9,165.0,116.0,95.3,432.9
19,0.6335,12.6,374.7,165.0,116.0,95.1,432.7
20,0.6669,12.2,374.5,165.0,116.0,94.7,432.5
21,0.7002,11.9,374.4,165.0,116.0,94.4,432.4
22,0.7336,10.1,373.1,168.0,118.0,94.1,432.1
23,0.7669,8.1,371.4,171.0,121.0,93.6,431.9
24,0.8003,9.2,372.5,168.0,118.0,93.2,431.5
25,0.8336,8.9,372.2,168.0,118.0,92.9,431.2
26,0.8670,8.5,371.9,168.0,118.0,92.5,430.9
27,0.9003,6.6,370.1,171.0,121.0,92.1,430.6
28,0.9336,6.2,370.0,171.0,121.0,91.7,430.5
29,0.9670,3.9,368.8,175.0,123.0,91.4,430.3
30,1.0003,2.2,367.6,178.0,125.0,91.2,430.1
31,1.0337,3.4,368.5,175.0,123.0,90.9,430.0
32,1.0670,1.6,367.3,178.0,125.0,90.6,429.8
33,1.1004,1.4,367.1,178.0,125.0,90.4,429.6
34,1.1337,1.2,366.8,178.0,125.0,90.2,429.3
35,1.1670,-1.0,365.1,182.0,128.0,90.0,429.1
36,1.2004,0.8,366.3,178.0,125.0,89.8,428.8
37,1.2337,-1.4,364.6,182.0,128.0,89.6,428.6
38,1.2671,0.4,365.8,178.0,125.0,89.4,428.3
39,1.3004,0.2,365.5,178.0,125.0,89.2,428.0
40,1.3338,-1.9,363.6,182.0,128.0,89.1,427.6
41,1.3671,-2.2,363.3,182.0,128.0,88.8,427.3
42,1.4005,-2.3,362.9,182.0,128.0,88.7,426.9
43,1.4338,-2.4,362.6,182.0,128.0,88.6,426.6
44,1.4671,-4.0,360.7,185.0,131.0,88.5,426.2
45,1.5005,-4.1,360.4,185.0,131.0,88.4,425.9
46,1.5338,-6.2,359.0,189.0,133.0,88.3,425.5
47,1.5672,-6.2,358.7,189.0,133.0,88.3,425.2
48,1.6005,-6.2,358.4,189.0,133.0,88.3,424.9
49,1.6339,-8.2,356.6,193.0,136.0,88.3,424.6
50,1.6672,-8.1,356.2,193.0,136.0,88.4,424.2
51,1.7006,-10.1,354.3,197.0,139.0,88.4,423.8
52,1.7339,-10.0,353.8,197.0,139.0,88.5,423.3
53,1.7672,-10.0,353.4,197.0,139.0,88.5,422.9
54,1.8006,-11.9,351.9,201.0,141.0,88.6,422.4
55,1.8339,-11.9,351.3,201.0,141.0,88.6,421.8
56,1.8673,-11.8,350.7,201.0,141.0,88.7,421.2
57,1.9006,-9.7,351.2,197.0,139.0,88.8,420.7
58,1.9340,-13.6,348.0,205.0,144.0,88.9,420.0
59,1.9673,-13.6,347.4,205.0,144.0,88.9,419.4
60,2.0007,-15.5,345.3,209.0,147.0,89.0,418.8
61,2.0340,-15.4,344.7,209.0,147.0,89.1,418.2
62,2.0673,-15.4,344.2,209.0,147.0,89.1,417.7
63,2.1007,-15.3,343.7,209.0,147.0,89.2,417.2
64,2.1340,-17.3,341.7,213.0,150.0,89.2,416.7
65,2.1674,-17.3,341.1,213.0,150.0,89.2,416.1
66,2.2007,-17.4,340.6,213.0,150.0,89.1,415.6
67,2.2341,-19.5,338.7,217.0,153.0,89.0,415.2
68,2.2674,-19.6,338.3,217.0,153.0,88.9,414.8
69,2.3008,-19.7,337.8,217.0,153.0,88.8,414.3
70,2.3341,-19.8,337.4,217.0,153.0,88.7,413.9
71,2.3674,-21.9,335.5,221.0,156.0,88.6,413.5
72,2.4008,-22.1,335.1,221.0,156.0,88.4,413.1
73,2.4341,-22.3,334.7,221.0,156.0,88.2,412.7
74,2.4675,-22.4,334.3,221.0,156.0,88.1,412.3
75,2.5008,-22.6,333.9,221.0,156.0,87.9,411.9
76,2.5342,-25.2,332.0,226.0,159.0,87.8,411.5
77,2.5675,-27.3,330.2,230.0,162.0,87.7,411.2
78,2.6009,-27.5,330.0,230.0,162.0,87.5,411.0
79,2.6342,-27.6,329.7,230.0,162.0,87.4,410.7
80,2.6675,-27.8,329.5,230.0,162.0,87.2,410.5
81,2.7009,-30.4,327.3,235.0,166.0,87.1,410.3
82,2.7342,-30.6,327.1,235.0,166.0,86.9,410.1
83,2.7676,-33.2,325.3,240.0,169.0,86.8,409.8
84,2.8009,-33.5,325.2,240.0,169.0,86.5,409.7
85,2.8343,-33.7,325.0,240.0,169.0,86.3,409.5
86,2.8676,-33.9,324.9,240.0,169.0,86.1,409.4
87,2.9009,-36.2,323.3,244.0,172.0,85.8,409.3
88,2.9343,-36.4,323.2,244.0,172.0,85.6,409.2
89,2.9676,-39.1,321.1,249.0,176.0,85.4,409.1
90,3.0010,-39.4,321.0,249.0,176.0,85.1,409.0
91,3.0343,-39.6,320.9,249.0,176.0,84.9,408.9
92,3.0677,-42.4,319.3,254.0,179.0,84.6,408.8
93,3.1010,-45.2,317.2,259.0,183.0,84.3,408.7
94,3.1344,-45.4,317.1,259.0,183.0,84.1,408.6
95,3.1677,-45.7,317.1,259.0,183.0,83.8,408.6
96,3.2010,-45.9,316.9,259.0,183.0,83.6,408.4
97,3.2344,-43.6,318.9,254.0,179.0,83.4,408.4
98,3.2677,-43.8,318.8,254.0,179.0,83.2,408.3
99,3.3011,-44.1,318.8,254.0,179.0,82.9,408.3
100,3.3344,-46.9,316.8,259.0,183.0,82.6,408.3
101,3.3678,-47.1,316.7,259.0,183.0,82.4,408.2
102,3.4011,-50.3,315.2,265.0,186.0,82.2,408.2
103,3.4345,-50.5,315.2,265.0,186.0,82.0,408.2
104,3.4678,-50.7,315.2,265.0,186.0,81.8,408.2
105,3.5011,-51.0,315.1,265.0,186.0,81.5,408.1
106,3.5345,-51.2,315.1,265.0,186.0,81.3,408.1
107,3.5678,-51.4,315.1,265.0,186.0,81.1,408.1
108,3.6012,-51.7,315.1,265.0,186.0,80.8,408.1
109,3.6345,-54.4,313.1,270.0,190.0,80.6,408.1
110,3.6679,-54.7,313.1,270.0,190.0,80.3,408.1
111,3.7012,-55.0,313.1,270.0,190.0,80.0,408.1
112,3.7346,-57.8,311.1,275.0,194.0,79.7,408.1
113,3.7679,-58.0,311.1,275.0,194.0,79.5,408.1
114,3.8012,-58.3,311.0,275.0,194.0,79.2,408.0
115,3.8346,-58.6,310.9,275.0,194.0,78.9,407.9
