frame,time_s,x,y,w,h,cx,cy
0,0.0000,99.0,266.0,117.0,286.0,157.5,409.0
1,0.0333,99.0,266.0,117.0,286.0,157.5,409.0
2,0.0667,99.3,265.7,117.0,286.0,157.8,408.7
3,0.1000,99.2,265.3,117.0,286.0,157.7,408.3
4,0.1333,100.2,267.9,115.0,280.0,157.7,407.9
5,0.1667,102.6,272.5,110.0,270.0,157.6,407.5
6,0.2000,101.5,269.5,112.0,275.0,157.5,407.0
7,0.2333,102.3,271.7,110.0,270.0,157.3,406.7
8,0.2667,102.9,274.3,108.0,264.0,156.9,406.3
9,0.3000,101.6,270.7,110.0,270.0,156.6,405.7
10,0.3333,102.2,273.1,108.0,264.0,156.2,405.1
11,0.3667,101.9,272.4,108.0,264.0,155.9,404.4
12,0.4000,101.5,271.7,108.0,264.0,155.5,403.7
13,0.4333,100.2,268.0,110.0,270.0,155.2,403.0
14,0.4667,99.8,267.4,110.0,270.0,154.8,402.4
15,0.5000,99.4,266.8,110.0,270.0,154.4,401.8
16,0.5333,100.0,269.3,108.0,264.0,154.0,401.3
17,0.5667,100.4,271.3,106.0,259.0,153.4,400.8
18,0.6000,99.9,270.8,106.0,259.0,152.9,400.3
19,0.6333,99.3,270.3,106.0,259.0,152.3,399.8
20,0.6667,99.6,272.4,104.0,254.0,151.6,399.4
21,0.7000,98.5,271.9,104.0,254.0,150.5,398.9
22,0.7333,97.3,271.2,104.0,254.0,149.3,398.2
23,0.7667,95.0,267.9,106.0,259.0,148.0,397.4
24,0.8000,94.8,269.8,104.0,254.0,146.8,396.8
25,0.8333,91.6,264.0,108.0,264.0,145.6,396.0
26,0.8667,90.3,263.1,108.0,264.0,144.3,395.1
27,0.9000,89.0,262.2,108.0,264.0,143.0,394.2
28,0.9333,87.6,261.3,108.0,264.0,141.6,393.3
29,0.9667,86.2,260.5,108.0,264.0,140.2,392.5
30,1.0000,84.6,259.8,108.0,264.0,138.6,391.8
31,1.0333,83.1,259.0,108.0,264.0,137.1,391.0
